,gvkey,Ticker,Date,Revenue,Cost of Goods Sold,SG&A,EBIT,Net Income,Cash and Cash Equivalents,Recievables,Inventories,Other Current Assets,PP&E,Other Assets,Debt in Current Liabilities,Accounts Payable,Taxes Payable,Other Current Liabilities,Total Liabilities,Adjusted Close,Volume,EBIT/EV
2845,1209,APD,1990-03-31,713.1,359.3,182.3,110.1,60.6,94.2,396.0,246.3,56.6,4785.7,423.0,75.5,310.5,1.2,145.9,2051.6,13.0625,10175097.0,0.02891874430399562
2846,1209,APD,1990-06-30,712.8,349.3,184.5,107.30000000000001,56.8,53.0,401.9,242.0,61.2,4966.5,534.5,137.9,316.8,12.3,156.1,2165.1,14.125,13084397.0,0.025749325160102376
2847,1209,APD,1990-09-30,816.3,442.3,192.8,113.80000000000001,63.1,74.4,437.3,246.9,78.7,5010.2,577.1,103.4,350.8,16.9,151.9,2211.1,11.21875,8326400.0,0.03267826055744001
2848,1209,APD,1990-12-31,724.6,355.7,187.1,110.5,60.6,80.3,404.5,271.2,93.8,5191.1,603.7,120.6,365.3,31.8,151.1,2270.0,13.6875,8338598.0,0.027214285406431806
2849,1209,APD,1991-03-31,754.7,378.0,192.1,118.6,65.8,71.4,404.3,265.1,83.5,5139.4,609.5,156.7,349.8,15.4,179.4,2222.3,16.9375,10033598.0,0.024855426973429996
2850,1209,APD,1991-06-30,713.4,346.4,188.1,114.69999999999999,64.1,75.3,396.0,267.5,86.7,5137.0,622.6,107.4,326.1,21.1,173.7,2198.9,16.84375,6357597.0,0.024122186128323404
2851,1209,APD,1991-09-30,738.4,355.8,199.3,103.8,58.4,104.4,421.3,283.8,91.7,5332.2,703.7,190.4,389.2,11.1,193.8,2386.2,16.78125,8011398.0,0.021611380328022442
2852,1209,APD,1991-12-31,760.5,366.6,193.6,117.6,64.2,158.4,441.6,307.5,98.6,5502.7,726.6,287.2,341.3,18.4,190.3,2472.697,18.46875,6773199.0,0.022383734486273305
2853,1209,APD,1992-03-31,793.3,385.1,199.7,126.5,67.3,107.2,453.6,312.7,96.5,5471.6,704.1,219.1,349.9,14.5,188.4,2357.498,21.1875,17137696.0,0.02175746106768935
2854,1209,APD,1992-06-30,824.7,419.4,201.6,122.70000000000002,68.4,129.1,483.8,315.6,89.6,5682.0,733.9,163.9,385.3,10.0,207.3,2423.698,21.25,14733996.0,0.02116464176644551
2855,1209,APD,1992-09-30,838.8,425.4,214.0,123.49999999999999,71.1,116.8,495.5,294.1,91.7,5784.5,747.8,120.8,364.1,35.7,198.7,2393.898,22.1875,13423698.0,0.020614886994739654
2856,1209,APD,1992-12-31,813.5,409.0,203.2,123.8,69.0,107.2,453.6,327.5,103.0,5682.3,851.1,272.4,371.4,40.3,159.8,2436.898,23.375,11820698.0,0.019450038381618552
2857,1209,APD,1993-03-31,833.9,411.4,204.6,137.29999999999998,75.3,112.1,492.2,340.3,99.3,5779.7,843.8,288.0,364.3,27.3,187.4,2459.299,22.0625,15240397.0,0.02265616983051704
2858,1209,APD,1993-06-30,824.8,414.9,209.9,127.89999999999999,70.8,189.7,490.5,341.6,101.4,5841.5,834.9,361.4,377.0,31.0,173.2,2526.897,19.625,17781996.0,0.023282727079063106
2859,1209,APD,1993-09-30,855.5,448.9,218.6,-6.899999999999999,-14.2,238.4,514.5,355.8,87.6,5952.8,859.6,234.6,425.5,17.8,196.1,2659.6,19.375,19268695.0,-0.001269318008311273
2860,1209,APD,1993-12-31,827.3,414.0,211.6,141.4,89.4,172.9,511.2,360.0,115.9,6031.6,858.5,241.7,390.0,30.4,165.6,2618.298,22.125,13139898.0,0.02305404837404558
2861,1209,APD,1994-03-31,858.6,433.6,217.2,31.599999999999998,13.5,127.6,555.8,298.0,228.7,6168.8,855.5,247.8,409.0,19.8,273.9,2785.997,22.3125,13765094.0,0.005093568942060089
2862,1209,APD,1994-06-30,868.4,429.5,229.8,108.0,65.8,107.2,531.9,303.4,199.8,6344.6,874.7,345.1,403.9,8.7,213.1,2738.598,21.1875,15805997.0,0.01809123030542394
2863,1209,APD,1994-09-30,931.0,481.6,227.6,138.5,79.1,99.9,558.8,395.6,123.4,6519.5,865.9,321.0,447.5,38.0,269.9,2829.799,23.375,15078894.0,0.02148795726053058
2864,1209,APD,1994-12-31,920.8,453.9,230.1,155.3,86.7,103.9,578.0,403.5,127.6,6680.8,897.7,413.4,467.7,59.6,216.2,2998.8,22.3125,13546998.0,0.024693295515861313
2865,1209,APD,1995-03-31,982.9,498.0,240.6,160.29999999999998,88.6,93.8,625.9,411.8,127.2,7013.6,895.9,356.4,503.2,53.3,240.7,3131.8,26.0625,14678595.0,0.022277857414902718
2866,1209,APD,1995-06-30,982.4,503.0,242.7,175.89999999999998,100.1,122.1,616.8,431.4,145.6,7236.2,959.5,274.7,580.4,59.3,242.7,3365.999,27.875,14753298.0,0.022817198953392338
2867,1209,APD,1995-09-30,978.9,480.1,258.6,161.5,92.6,87.0,625.0,458.0,162.0,7350.0,982.0,487.0,493.0,56.0,275.0,3418.0,26.0625,17123395.0,0.021778776147742766
2868,1209,APD,1995-12-31,947.5,460.0,247.7,160.0,89.0,95.0,628.0,482.0,151.0,7501.0,1103.0,555.0,487.0,68.0,223.0,3589.0,26.375,16847695.0,0.020851964346268764
2869,1209,APD,1996-03-31,1012.5,509.4,258.9,232.8,135.3,82.0,649.0,497.0,144.0,7691.0,1143.0,448.0,491.0,94.0,235.0,3671.0,27.3125,25853597.0,0.02917059740362261
2870,1209,APD,1996-06-30,997.3,491.0,256.1,175.8,98.0,91.0,676.0,392.0,274.0,7909.0,1186.0,274.0,579.0,62.0,224.0,3883.0,28.8125,17218095.0,0.020780206014525078
2871,1209,APD,1996-09-30,1050.4,535.6,271.3,170.2,94.1,79.0,670.0,486.0,140.0,8103.0,1188.0,456.0,446.0,40.0,321.0,3948.0,29.125,14357397.0,0.019898290158749367
2872,1209,APD,1996-12-31,1120.9,584.6,268.2,188.1,99.9,160.7,817.1,557.4,185.0,8577.7,1205.1,640.0,637.8,64.5,246.4,4737.8,34.5625,17902793.0,0.01846504276464883
2873,1209,APD,1997-03-31,1153.1,570.9,293.2,197.5,106.0,111.8,814.0,565.5,173.1,8537.3,1180.5,452.8,607.4,50.7,275.4,4656.8,33.9375,17663694.0,0.018499528314716504
2874,1209,APD,1997-06-30,1150.3,547.5,294.7,210.20000000000002,116.0,70.6,841.6,543.6,196.7,8627.8,1188.9,355.6,631.9,57.5,265.1,4616.2,40.625,12883696.0,0.01720719702066634
2875,1209,APD,1997-09-30,1213.5,609.5,308.9,195.9,107.4,52.5,879.6,507.8,184.4,8727.3,1178.6,176.4,509.1,15.9,423.2,4596.0,41.4685,12027600.0,0.016995773135778318
2876,1209,APD,1997-12-31,1234.8,713.4,185.9,293.5,160.5,85.9,860.8,499.9,229.1,8847.7,923.6,112.6,612.9,195.4,239.4,4479.1,41.125,19434797.0,0.024579198984003948
2877,1209,APD,1998-03-31,1208.6,695.5,190.1,214.0,120.5,85.0,865.3,493.6,166.2,8996.4,1014.2,212.8,543.9,84.9,278.5,4559.1,41.4375,17981395.0,0.01770400996653032
2878,1209,APD,1998-06-30,1225.3,703.4,200.6,250.6,138.1,110.8,852.2,521.7,197.8,9189.1,1046.2,317.5,530.3,74.5,280.3,4721.2,40.0,37110800.0,0.021292685206426888
2879,1209,APD,1998-09-30,1250.3,715.3,195.2,228.4,127.7,61.5,881.1,522.7,176.4,9489.5,1061.8,423.2,421.3,30.9,390.2,4822.3,29.75,41551500.0,0.025584636672115347
2880,1209,APD,1998-12-31,1274.6,737.9,204.5,226.70000000000002,126.4,57.8,886.1,588.7,129.2,9687.2,1163.4,562.8,480.4,54.3,269.6,4829.4,40.0,31283500.0,0.019211213179214263
2881,1209,APD,1999-03-31,1253.3,744.0,197.6,192.4,106.9,85.5,889.2,575.9,164.8,9744.2,1167.1,490.0,513.6,30.7,306.5,4893.3,34.25,45523700.0,0.018341458810901014
2882,1209,APD,1999-06-30,1237.8,740.1,193.5,178.3,94.6,80.3,922.3,521.8,184.3,9975.2,1229.8,585.0,561.4,18.8,284.1,5043.6,40.25,50947100.0,0.014878262455929249
2883,1209,APD,1999-09-30,1254.4,736.9,199.2,215.6,122.6,132.0,894.7,504.7,251.0,10187.9,1260.2,880.6,455.3,64.4,457.5,5146.6,29.25,52784700.0,0.02411164631659374
2884,1209,APD,1999-12-31,1264.4,745.4,197.9,101.0,50.6,79.5,921.5,526.4,335.7,10381.5,1325.8,1084.7,554.8,61.5,494.5,5457.3,33.5625,50364400.0,0.009429075048873213
2885,1209,APD,2000-03-31,1347.2,778.6,209.8,102.7,47.6,92.6,923.1,497.7,381.3,10491.3,1305.0,555.9,538.3,49.3,566.1,5527.5,28.4375,56398500.0,0.01082070810379306
2886,1209,APD,2000-06-30,1406.4,796.6,221.8,-277.20000000000005,-192.5,113.3,960.9,524.4,349.9,10625.4,1204.7,789.0,557.3,12.5,325.3,5801.1,30.8125,51081300.0,-0.027585913666676273
2887,1209,APD,2000-09-30,1449.1,880.2,209.6,380.7,218.5,94.1,982.7,482.2,246.0,10310.9,1208.8,429.2,512.6,10.0,423.0,5333.7,36.0,47649100.0,0.035703621118086976
2888,1209,APD,2000-12-31,1475.8,911.2,202.0,245.70000000000002,135.6,85.3,1058.3,502.6,186.5,10470.8,1217.2,308.5,581.4,54.2,341.3,5274.9,41.0,51516300.0,0.021044064832849572
2889,1209,APD,2001-03-31,1534.5,983.3,210.9,181.5,94.6,100.6,1049.8,514.2,240.3,10451.6,1202.9,511.1,577.0,17.1,336.6,5277.3,38.4,67560800.0,0.016276853220628756
2890,1209,APD,2001-06-30,1450.9,897.4,204.3,234.8,132.3,116.1,946.2,507.2,210.6,10509.4,1256.5,372.3,533.5,3.1,287.0,5081.8,45.75,59904000.0,0.018553466132980586
2891,1209,APD,2001-09-30,1396.6,870.9,203.3,185.3,103.1,66.2,913.4,478.4,226.8,10226.5,1280.8,487.4,408.1,48.4,408.5,4860.3,38.58,55414100.0,0.017219169155220707
2892,1209,APD,2001-12-31,1316.5,797.8,199.7,197.6,113.7,68.3,867.4,485.5,207.4,10324.9,1295.6,415.1,463.6,67.6,301.1,4747.4,46.91,49703400.0,0.015849804798464394
2893,1209,APD,2002-03-31,1312.7,792.5,202.7,226.7,126.1,97.8,867.2,459.7,206.6,10157.1,1242.6,113.5,460.3,77.5,323.0,4453.2,51.65,74138200.0,0.01713590978350921
2894,1209,APD,2002-06-30,1374.0,828.5,204.8,229.4,141.3,185.8,933.4,451.1,210.7,10562.1,1307.2,206.6,486.7,64.7,352.5,4586.3,50.47,54668600.0,0.01758399791679142
2895,1209,APD,2002-09-30,1398.0,818.3,214.0,234.8,144.3,253.7,980.9,460.7,214.0,10879.8,1207.9,368.7,403.3,72.9,411.3,4850.2,42.01,61759400.0,0.02071149934975419
2896,1209,APD,2002-12-31,1447.0,877.0,223.3,214.0,125.8,104.8,1031.3,484.8,213.6,11160.1,1362.8,375.5,487.3,116.7,302.7,4881.2,42.75,65390200.0,0.018349385723230426
