Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,94368359.6,1320.64,99608547.09879851
2011-09-30,72529087.13,1131.42,85336732.46192953
2012-12-31,98116518.02,1426.19,107569597.9122512
2013-09-30,114682977.6,1681.55,126829985.74477875
2013-12-31,123992174.19,1848.36,139411538.43252906
2014-03-31,131861220.67,1872.34,141220216.76987246
2014-06-30,145056683.18879998,1960.23,147849271.77692467
2014-09-30,135863889.45,1972.29,148758890.65717325
2014-12-31,119602824.19,2058.9,155291402.3668193
2015-03-31,119855178.23999998,2067.89,155969468.1821953
2015-06-30,115171654.0712,2063.11,155608939.30594423
2015-09-30,99765195.35,1920.03,144817208.84276265
2015-12-31,105395759.7612,2043.94,154163052.57838488
2016-03-31,106169014.86400001,2059.74,155354758.90574208
2016-06-30,111987195.08999999,2098.86,158305363.43271765
2016-09-30,118473914.72999997,2168.27,163540574.5834685
2017-03-31,130625933.82000001,2362.72,178206859.0995829
2017-06-30,128532024.36999999,2423.41,182784369.03675434
