Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100876796.29918092,1320.64,99608547.09879851
2011-09-30,90244936.77635014,1131.42,85336732.46192953
2012-12-31,89152926.75091809,1426.19,107569597.9122512
2013-09-30,108805431.48879987,1681.55,126829985.74477875
2013-12-31,115392050.77628413,1848.36,139411538.43252906
2014-03-31,113822003.48903689,1872.34,141220216.76987246
2014-06-30,117274574.4790369,1960.23,147849271.77692467
2014-09-30,108576825.0140369,1972.29,148758890.65717325
2014-12-31,113182724.4320972,2058.9,155291402.3668193
2015-03-31,112451374.70477498,2067.89,155969468.1821953
2015-06-30,107925275.14677167,2063.11,155608939.30594423
2015-09-30,100164258.58022651,1920.03,144817208.84276265
2015-12-31,105875420.88686316,2043.94,154163052.57838488
2016-03-31,116578215.83654815,2059.74,155354758.90574208
2016-06-30,122608811.53311731,2098.86,158305363.43271765
2016-09-30,117418353.29834233,2168.27,163540574.5834685
2017-03-31,126440777.03629011,2362.72,178206859.0995829
2017-06-30,130432781.11629012,2423.41,182784369.03675434
